"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.632501875E0,-4.611206055E-2,2.548046875E1,-4.303512573E1,5.001278297E1
1.642527875E0,7.495880127E-2,2.507449341E1,-4.268395996E1,4.950410363E1
1.652553875E0,1.720504761E-1,2.538488770E1,-4.250744629E1,4.951065658E1
1.662578875E0,1.228103638E-1,2.530590820E1,-4.247213745E1,4.943972625E1
1.672604875E0,9.606933594E-2,2.564709473E1,-4.237222290E1,4.952966758E1
1.682630875E0,2.394943237E-1,2.555004883E1,-4.231512451E1,4.943108450E1
1.692656875E0,1.110610962E-1,2.569821167E1,-4.229022217E1,4.948609207E1
1.702681875E0,1.367187500E-1,2.557510376E1,-4.230929565E1,4.943866021E1
1.712707875E0,3.444671631E-2,2.553207397E1,-4.261248779E1,4.967607174E1
1.722733875E0,1.364212036E-1,2.576107788E1,-4.238876343E1,4.960301411E1
1.732758875E0,2.362289429E-1,2.579104614E1,-4.233532715E1,4.957331732E1
1.742784875E0,5.995178223E-2,2.563128662E1,-4.245346069E1,4.959095455E1
1.752810875E0,1.848754883E-1,2.562194824E1,-4.234841919E1,4.949653542E1
1.762835875E0,1.185073853E-1,2.553073120E1,-4.247845459E1,4.956058297E1
1.772861875E0,2.102050781E-1,2.556271362E1,-4.221636963E1,4.935299767E1
1.782887875E0,1.281356812E-1,2.560400391E1,-4.239108276E1,4.952358360E1
1.792912875E0,1.221694946E-1,2.527005005E1,-4.235510254E1,4.932083805E1
1.802938875E0,1.037826538E-1,2.548226929E1,-4.255062866E1,4.959750819E1
1.812964875E0,-3.672027588E-2,2.572195435E1,-4.261068726E1,4.977239147E1
1.822989875E0,-1.570739746E-1,2.586077881E1,-4.274435425E1,4.995882678E1
1.833015875E0,-4.094696045E-2,2.515631104E1,-4.309436035E1,4.989955466E1
1.843041875E0,2.694091797E-1,2.514233398E1,-4.264996338E1,4.950988705E1
1.853066875E0,1.864166260E-1,2.530401611E1,-4.250582886E1,4.946790343E1
1.863092875E0,3.279876709E-2,2.567254639E1,-4.251040649E1,4.966100456E1
1.873118875E0,1.010742188E-1,2.558914185E1,-4.255432129E1,4.965566087E1
1.883143875E0,1.417160034E-1,2.547760010E1,-4.248373413E1,4.953782248E1
1.893169875E0,2.097396851E-1,2.534753418E1,-4.238256836E1,4.938444675E1
1.903195875E0,1.149978638E-1,2.562579346E1,-4.252212524E1,4.964701048E1
1.913220875E0,2.259826660E-2,2.572747803E1,-4.271536255E1,4.986487575E1
1.923246875E0,6.892395020E-2,2.577722168E1,-4.261984253E1,4.980884344E1
1.933272875E0,1.134262085E-1,2.536022949E1,-4.284130859E1,4.978485540E1
1.943297875E0,2.104110718E-1,2.558502197E1,-4.246179199E1,4.957460440E1
1.953323875E0,1.198120117E-1,2.552792358E1,-4.247729492E1,4.955814586E1
1.963349875E0,9.651947021E-2,2.570852661E1,-4.251660156E1,4.968499839E1
1.973374875E0,2.168960571E-1,2.536138916E1,-4.237713623E1,4.938692923E1
1.983400875E0,1.614913940E-1,2.550054932E1,-4.245346069E1,4.952373592E1
1.993426875E0,2.824020386E-1,2.527603149E1,-4.224346924E1,4.922873360E1
2.003451875E0,2.056655884E-1,2.554428101E1,-4.240356445E1,4.950368541E1
2.013477875E0,3.298950195E-2,2.537207031E1,-4.256185913E1,4.955052868E1
